ID,Word,Meaning,Mastery,Rank
338,abundant,豊富な,D,1
339,plural,複数の,D,1
340,birth,誕生,D,1
341,protest,抗議する、主張する,D,1
342,enormous,非常に大きな,D,1
343,environment,環境,D,1
344,action,行動、作用,D,1
345,surround,囲む,D,1
346,flour,小麦粉,D,1
347,justice,正義,D,1
348,masterpiece,名作,D,1
349,ingredient,材料、成分,D,1
350,stellar,星の、星のような,D,1
351,height,高さ,D,1
352,transportation,輸送,D,1
353,stride,大股に歩く、大股に歩くこと、歩幅,D,1
354,cope,対処する,D,1
355,fame,名声,D,1
356,prize,賞（品）、賞金,D,1
357,determine,決意する,D,1
358,public,公衆の、公立の,D,1
359,development,発展,D,1
360,praise,賞賛する,D,1
361,security,安全（性）,D,1
362,labor,労働,D,1
363,poison,毒,D,1
364,seaport,海港,D,1
365,female,女性,D,1
366,literature,文学,D,1
367,athletic,運動競技の,D,1
368,infection,伝染,D,1
369,establish,確立する,D,1
370,generation,世代、（電気などの）発生、産出,D,1
371,global,世界的な、地球の,D,1
372,creation,創造,D,1
373,fold,折る、畳む,D,1
374,research,研究、研究する,D,1
375,contain,内包する、含んでいる,D,1
376,output,産出高、出力,D,1
377,sue,告訴する,D,1
378,spear,やり,D,1
379,spontaneous,自発的な,D,1
380,hospitality,もてなし,D,1
381,analysis,分析,D,1
382,weigh,重さを量る、よく考える,D,1
383,cause,原因、引き起こす,D,1
384,shake,振る,D,1
385,continent,大陸,D,1
386,protect,守る,D,1
387,negative,負の、否定の,D,1
388,solid,固体の、固い,D,1
389,seashore,（通例 the 〜）海岸,D,1
390,display,展示［表示］する、展示,D,1
391,salary,給料,D,1
392,engineer,技師、工学者,D,1
393,delay,遅らせる、遅れ,D,1
394,separate,切り離す,D,1
395,stream,流れ、傾向、風潮、小川,D,1
396,bathe,入浴する,D,1
397,wake,航跡、目覚める,D,1
398,examine,試験する、検査する,D,1
399,avoid,避ける,D,1
400,various,さまざまな,D,1
401,probably,おそらく、たぶん,D,1
402,sort,種類、分類する,D,1
403,income,所得,D,1
404,notice,注目、通知、気付く,D,1
405,diameter,直径,D,1
406,citizen,市民,D,1
407,harsh,粗い,D,1
408,abroad,海外で［に］,D,1
409,resource,（通例 〜s）資源,D,1
410,complex,複雑な,D,1
411,condition,状態,D,1
412,instrument,道具、楽器,D,1
413,privilege,特権,D,1
414,balance,バランス、平衡、収支,D,1
415,ahead,前に［へ］,D,1
416,underscore,強調する、下線を引く,D,1
417,outstanding,目立つ,D,1
418,unemployment,失業,D,1
419,congratulate,お祝いを言う,D,1
420,certain,確かな,D,1
421,medicine,薬、医学,D,1
422,follow,従う、ついて行く,D,1
423,react,反応する,D,1
424,horizontal,水平（線）の,D,1
425,observe,観察する,D,1
426,run,経営する、走る,D,1
427,palm,ヤシ、手のひら,D,1
428,investigate,調査する、究明する,D,1
429,physical,物理的な、肉体の,D,1
430,cautious,用心深い,D,1
431,empty,空いている,D,1
432,plentiful,沢山の,D,1
433,decrease,減少する、減少,D,1
434,afford,〜する余裕がある,D,1
435,continual,継続性の,D,1
436,shameful,恥ずべき,D,1
437,accept,受け入れる,D,1
438,request,頼む、求める、（曲などを）リクエストする,D,1
439,profit,（しばしば〜s）利益、利潤,D,1
440,seldom,めったに〜ない,D,1
441,blood cell,血球,D,1
442,pronounce,発音する、断言する,D,1
443,thick,厚い,D,1
444,reliable,信頼できる,D,1
445,education,教育,D,1
446,duty,義務、（しばしば〜ies）税,D,1
447,extreme,極端な,D,1
448,recreation,レクリエーション,D,1
449,minor,少数の、未成年の,D,1
450,dig,掘る,D,1
451,appetite,食欲,D,1
452,client,顧客,D,1
453,attempt,試みる、企てる,D,1
454,base,基礎,D,1
455,approach,接近する、接近、アプローチ,D,1
456,advice,助言、アドバイス,D,1
457,tide,潮（の干満）、風潮,D,1
458,leap,跳ぶ,D,1
459,funeral,葬式,D,1
460,preserve,保護する、保持する,D,1
461,crowd,群集、詰め込む,D,1
462,pour,（水などを）注ぐ,D,1
463,pain,痛み,D,1
464,amount,（the 〜）総額、量、金額,D,1
465,genuine,純粋な,D,1
466,might,力,D,1
467,steam,蒸気,D,1
468,shore,岸,D,1
469,awake,気付いて、目が覚めて,D,1
470,curiosity,好奇心,D,1
471,sweat,汗,D,1
472,vaccine,ワクチン,D,1
473,serve,奉仕する、食事を出す,D,1
474,pollution,汚染,D,1
475,survey,調べる,D,1
476,capacity,容量,D,1
477,pray,祈る,D,1
478,independent,独立した,D,1
479,innocent,罪のない、純粋な,D,1
480,common,一般的な、普通の,D,1
481,tax,税,D,1
482,ideal,理想的な、理想,D,1
483,vocabulary,語彙,D,1
484,mud,泥、ぬかるみ,D,1
485,industry,産業、工業、勤勉,D,1
486,treat,扱う、治療する,D,1
487,occupation,職業,D,1
488,change,変化、変える、かわる,D,1
489,narrowly,狭く、かろうじて,D,1
490,operation,手術、操作、（O-）軍事作戦,D,1
491,flock,（ヒツジなどの）群れ、群れる,D,1
492,genius,天才,D,1
493,proud,誇りに思って,D,1
494,composer,作曲家,D,1
495,aboard,乗って,D,1
496,fuel,燃料,D,1
497,stem,（草木の）茎、語幹,D,1
498,nursery,苗床、種苗場、養成所、保育園,D,1
499,suddenly,にわかに、急に,D,1
500,greenhouse,温室,D,1
501,adjust,調整する、合わせる,D,1
502,earthquake,地震,D,1
503,fortune,幸運、財産,D,1
504,logical,論理的な,D,1
505,shortcut,近道,D,1
506,credible,信用できる,D,1
507,purchase,購入する、購入（物）,D,1
508,solution,解決（法）,D,1
509,prestige,名声、威信,D,1
510,announce,発表する、知らせる,D,1
511,encourage,勇気づける,D,1
512,urgent,緊急の,D,1
513,knowledge,知識,D,1
514,satisfy,（条件などを）満たす,D,1
515,abdomen,腹部,D,1
516,gain,得る、稼ぐ,D,1
517,prosperity,繁栄、成功,D,1
518,oppose,反対する,D,1
519,vacant,空いている,D,1
520,admit,認める,D,1
521,emergency,非常事態、危機,D,1
522,float,浮かぶ、（釣り具の）浮き、ブイ,D,1
523,larva,幼虫,D,1
524,arrest,逮捕する,D,1
525,Pacific Ocean,（the 〜）太平洋,D,1
526,liquid,液体、液体の,D,1
527,native,その土地［国］固有の,D,1
528,bitter,苦い,D,1
529,worth,価値のある,D,1
530,value,価値,D,1
531,civilization,文明,D,1
532,commercial,商業（上）の、コマーシャル,D,1
533,serious,重大な、（病気が）重い,D,1
534,tailor,洋服屋,D,1
535,invent,発明する,D,1
536,desert,砂漠、捨てる,D,1
537,order,秩序、（しばしば〜s）命令、命令する,D,1
538,forward,前へ,D,1
539,due,期限の来た、（〜s）払うべき会費、税,D,1
540,hemisphere,半球,D,1
541,employ,雇う,D,1
542,cure,治療する,D,1
543,develop,発展する,D,1
544,honest,正直な,D,1
545,interest,利子、利益、興味、興味を持たせる,D,1
546,lie,うそをつく、横たわる,D,1
547,discriminate,差別する,D,1
548,solve,解く,D,1
549,path,道,D,1
550,quantity,数量,D,1
551,famine,飢餓、欠乏,D,1
552,weapon,武器、兵器,D,1
553,rapid,急な,D,1
554,miserable,みすぼらしい,D,1
555,regard,見なす,D,1
556,cargo,積み荷,D,1
557,circumstance,（通例 〜s）環境、状況,D,1
558,diary,日記,D,1
559,express,急行、表現する,D,1
560,add,加える、加算する,D,1
561,shopkeeper,店主,D,1
562,laboratory,実験室,D,1
563,assume,仮定する,D,1
564,trace,跡,D,1
565,closely,緊密に、接近して,D,1
566,guilty,有罪の,D,1
567,majority,大多数,D,1
568,capital,主要な、首都,D,1
569,general,一般的な,D,1
570,exam,試験,D,1
571,personal,個人の,D,1
572,secretary,秘書,D,1
573,finally,最終的に、ついに,D,1
574,manner,方法、（〜s）行儀、作法,D,1
575,tolerate,我慢する,D,1
576,ultraviolet rays,紫外線,D,1
577,senior,年上の、上級の,D,1
578,besides,〜に加えて、その上,D,1
579,commodity,商品、（農業・鉱業などの）産物,D,1
580,relatively,比較的,D,1
581,thread,糸,D,1
582,firm,企業、堅い、確固たる,D,1
583,distance,距離,D,1
584,clothe,（受身形または〜oneselfで）着る,D,1
585,translate,訳す,D,1
586,persuade,説得する,D,1
587,illegal,違法の,D,1
588,atomic,原子の,D,1
589,moisture,湿気,D,1
590,regret,後悔する,D,1
591,shine,輝く,D,1
592,worm,（ミミズなどの）虫,D,1
593,offer,提供する、申し出る,D,1
594,dip,（水などに）浸す,D,1
595,considerable,かなりの,D,1
596,trade,貿易、（国内を含む）交易,D,1
597,die,死ぬ,D,1
598,result,結果,D,1
599,quit,（たばこなどを）やめる,D,1
600,fare,料金、運賃、食事,D,1
601,additional,追加の,D,1
602,harvest,刈り入れる、収穫する,D,1
603,entrance,入場、入口,D,1
604,currency,通貨、流通,D,1
605,square,正方形、スクエア,D,1
606,intend,意図する,D,1
607,tail,尾、しっぽ,D,1
608,essential,基本的な、必須の,D,1
609,poll,（the 〜(s)）投票、投票をする,D,1
610,immediately,即座に,D,1
611,primary,第一の,D,1
612,dwelling,住居,D,1
613,shell,貝殻、殻,D,1
614,curve,曲線,D,1
615,careful,注意深い,D,1
616,sight,景色,D,1
617,unit,単位,D,1
618,character,性格、特質,D,1
619,tale,話,D,1
620,brilliant,輝かしい、素晴らしい,D,1
621,neutral,中立の,D,1
622,delight,喜び,D,1
623,qualification,（しばしば〜s）資格、能力,D,1
624,Supreme Court,（the 〜）最高裁判所,D,1
625,instruction,（〜s）指示、命令、取扱説明書,D,1
626,import,輸入する、輸入,D,1
627,silent movie,無声映画,D,1
628,brief,短い、簡潔な,D,1
629,nomad,遊牧民、放浪者,D,1
630,remarkable,注目すべき,D,1
631,theory,理論,D,1
632,educate,教育する,D,1
633,opportunity,機会,D,1
634,slight,少しばかりの,D,1
635,attract,魅了する,D,1
636,yard,ヤード、中庭,D,1
637,grade,成績,D,1
638,engage,従事させる、雇う、約束する,D,1
639,decade,10年間,D,1
640,represent,代表する,D,1
641,gland,（リンパ腺などの）腺,D,1
642,Uncle Sam,アンクル・サム（米国政府を擬人化した呼称）,D,1
643,mercury,水銀、（M-）水星,D,1
644,function,機能,D,1
645,distinctive,区別できる、特有の,D,1
646,burn,燃える、燃やす,D,1
647,circle,円、（しばしば〜s）仲間,D,1
648,rational,合理的な,D,1
649,inspect,検査する,D,1
650,flexible,柔軟な、融通のきく,D,1
651,seaside,海辺,D,1
652,pleasant,愉快な、気持ちのよい,D,1
653,gentle,優しい,D,1
654,vertical,垂直の,D,1
655,departure,出発,D,1
656,locate,設ける、〜の場所を見つける、場所,D,1
657,male,男性、男の,D,1
658,diligent,勤勉な,D,1
659,rescue,救助する,D,1
660,substantial,重要な、本質的な,D,1
661,quality,品質,D,1
662,neglect,無視する,D,1
663,rely,頼る,D,1
664,standard,標準の、基準,D,1
665,hold,持つ、催す,D,1
666,electricity,電気,D,1
667,definitely,明らかに、決定的に,D,1
668,limestone,石灰岩,D,1
669,wrist,手首,D,1
670,attention,注意,D,1
671,cough,せき,D,1
672,summarize,要約する,D,1
673,realistic,現実的な、現実,D,1
674,need,（通例 〜s）必需品、要求,D,1
675,destination,目的地,D,1
676,practice,実行、訓練、練習する,D,1
677,punish,罰する,D,1
678,swamp,沼地,D,1
679,beside,〜のそばに,D,1
680,solar,太陽の,D,1
681,endangered species,絶滅危惧種,D,1
682,tap,（資源などを）利用する、軽くたたく,D,1
683,injure,傷つける,D,1
684,earn,稼ぐ,D,1
685,hydrogen,水素,D,1
686,account,見なす、（しばしば〜s）勘定、口座,D,1
687,suffer,（損害などを）被る,D,1
688,arithmetic,算数,D,1
689,lead,導く,D,1
690,eagle,ワシ,D,1
691,meteor,流星、隕石,D,1
692,chairman,議長,D,1
693,observation,観察,D,1
694,double,2倍にする、2倍,D,1
695,sound,〜と思われる、音,D,1
696,prior,前の,D,1
697,ceramic,（〜s）陶芸、陶磁器類,D,1
698,tradition,伝統,D,1
699,fluid,流動体,D,1
700,blowhole,（クジラなどの）噴気孔,D,1
701,search,捜す,D,1
702,grief,悲しみ,D,1
703,policy,政策、（保険の）証書,D,1
704,soldier,兵士,D,1
705,crisis,危機,D,1
706,entire,全体の,D,1
707,collect,集める,D,1
708,climate,気候,D,1
709,copper,銅,D,1
710,clever,利口な、ずる賢い,D,1
711,seasoning,調味料,D,1
712,reward,報酬、報奨（金）,D,1
713,archaeology,考古学,D,1
714,rough,粗い、雑な、おおよその,D,1
715,save,助ける、ためる、節約する,D,1
716,freedom,自由,D,1
717,legal,法律（上）の、適法の,D,1
718,extinct species,絶滅種,D,1
719,legend,伝説,D,1
720,era,時代,D,1
721,reject,拒絶する,D,1
722,fund,（しばしば〜s）基金,D,1
723,reptile,は虫類,D,1
724,formula,（数学などの）公式、決まった言い方,D,1
725,canal,運河,D,1
726,flourish,繁栄する,D,1
727,exit,出口、出ること,D,1
728,Tropical Zone,（the 〜）熱帯,D,1
729,factor,要因、（数学の）因数,D,1
730,tin,スズ,D,1
731,bother,煩わす,D,1
732,decline,低下する、断る,D,1
733,despite,〜にもかかわらず,D,1
734,mean,平均値、卑劣な、意味する,D,1
735,stage,ステージ、段階,D,1
736,improve,改良する、進歩させる,D,1
737,staple,主要な、主要産物,D,1
738,essence,本質、エッセンス,D,1
739,alone,ただ1人の、1人で,D,1
740,convert,（エネルギーなどを）転換する,D,1
741,sentence,刑を宣告する、文章,D,1
742,absentee,欠席者,D,1
743,telescope,望遠鏡,D,1
744,architect,建築家,D,1
745,face,直面する、顔,D,1
746,subscribe,（雑誌などを）購読する,D,1
747,treasury,宝庫、（the T-）財務省,D,1
748,tree sap,樹液,D,1
749,complete,完成させる、完成する、完全な,D,1
750,dominant,優勢な,D,1
751,region,地域,D,1
752,degree,程度、学位,D,1
753,rarely,めったに〜ない,D,1
754,ultimate,究極の、最後の、最終の,D,1
755,fault,断層、過ち、欠点,D,1
756,enthusiastic,熱狂的な,D,1
757,lately,最近,D,1
758,construct,建設する,D,1
759,prove,証明する,D,1
760,period,期間,D,1
761,protein,タンパク質,D,1
762,prejudice,偏見,D,1
763,algebra,代数（学）,D,1
764,element,要素、（the 〜s）悪天候,D,1
765,shortage,欠乏,D,1
766,scold,叱る,D,1
767,farther,より遠く,D,1
768,scenery,風景,D,1
769,owner,所有者,D,1
770,dormitory,（大学などの）寮、寄宿舎,D,1
771,attend,出席する、世話をする,D,1
772,latest,最近の,D,1
773,relative,比較の、関係のある、親戚,D,1
774,introduce,紹介する,D,1
775,respective,それぞれの,D,1
776,frost,霜,D,1
777,manage,経営する、どうにかやっていく,D,1
778,term,学期、期間、（〜s）条件、専門用語,D,1
779,view,眺め、（しばしば〜s）考え,D,1
780,custom,慣例、税関,D,1
781,introduction,紹介、序文,D,1
782,positive,肯定的な,D,1
783,Arctic,（the 〜）北極（圏）,D,1
784,furnish,（家具などを）備え付ける,D,1
785,furniture,家具,D,1
786,accident,事故,D,1
787,effective,有効な,D,1
788,spacecraft,宇宙船,D,1
789,steel,鉄、鋼,D,1
790,subject,学科、主題、主語,D,1
791,heritage,遺産,D,1
792,atmosphere,大気、雰囲気,D,1
793,sulfur,硫黄,D,1
794,expect,予期する、期待する,D,1
795,race,競争、人種,D,1
796,drawer,引き出し,D,1
797,deny,否定する,D,1
798,ripe,熟した,D,1
799,globe,球体、（通例 the 〜）地球,D,1
800,suggest,提案する、示唆する,D,1
801,apply,申し込む、当てはまる、応用する,D,1
802,population,人口、（統計上の）母集団,D,1
803,reform,改革する,D,1
804,liberal,自由な,D,1
805,active,活動的な,D,1
806,assist,手伝う,D,1
807,overcome,克服する、打ち勝つ,D,1
808,principle,（通例 〜s）主義、原則,D,1
809,sew,縫う,D,1
810,seed,種,D,1
811,behave,振る舞う,D,1
812,advanced,進んだ,D,1
813,comfortable,快適な、気持ちのよい,D,1
814,detail,（〜s）詳細、細部,D,1
815,reach,届く,D,1
816,volcano,火山,D,1
817,guarantee,保証する,D,1
818,infant,幼児,D,1
819,toxic,有毒な,D,1
820,create,創り出す、創造する,D,1
821,ignore,無視する,D,1
822,central,中心の、中央の,D,1
823,issue,発行（物）、論点,D,1
824,failure,失敗,D,1
825,proverb,ことわざ,D,1
826,squash,ウリ［カボチャ］の類,D,1
827,radical,急進的な,D,1
828,mistake,誤り,D,1
829,rest,休養、休む,D,1
830,agree,同意する,D,1
831,economy,経済、倹約,D,1
832,benefit,利益、恩恵,D,1
833,psychology,心理学,D,1
834,allow,許可する、認める,D,1
835,neat,こぎれいな,D,1
836,twice,2倍（に）,D,1
837,disappear,消える,D,1
838,germ,細菌,D,1
839,inevitable,避けられない,D,1
840,command,命令、命令する,D,1
841,influence,影響,D,1
842,living,生計、生活,D,1
843,desire,希望する,D,1
844,genre,（文学・音楽などの）ジャンル、様式,D,1
845,choice,選択,D,1
846,process,過程、プロセス,D,1
847,indicate,示す,D,1
848,support,支える,D,1
849,neighboring,隣の,D,1
850,microscope,顕微鏡,D,1
851,proper,適正な,D,1
852,aspect,局面、様子,D,1
